entity_id	name	type
E00000	Richard Kirwan	human
E00001	Nazi Party	political_party
E00002	Zoran Đinđić	human
E00003	Irene Tedrow	human
E00004	Karl Dedecius	human
E00005	Jeffrey DeMunn	human
E00006	Louise Redknapp	human
E00007	Cesare Ripa	human
E00008	Rob Nicholson	human
E00009	Costa-Gavras	human
E00010	Mary Astor	human
E00011	Whig Party	political_party
E00012	Earl King	human
E00013	Edi Rama	human
E00014	pancreatic cancer	disease
E00015	Alyson Hannigan	human
E00016	Bruce Johnston	human
E00017	Ofra Haza	human
E00018	I Am Legend	film
E00019	Ed Boon	human
E00020	William Auld	human
E00021	suffragette	occupation
E00022	Eric Joris	human
E00023	Königsberg	archaeological_site
E00024	Lev Melentyev	human
E00025	Paul Rassinier	human
E00026	Campo Verano	cemetery
E00027	Prince Maximilian of Wied-Neuwied	human
E00028	David Choi	human
E00029	Brokeback Mountain	film
E00030	Central Sofia Cemetery	cemetery
E00031	Dwynwen	human
E00032	Richard Jaeger	human
E00033	Sunny	human
E00034	Anthony Daniels	human
E00035	Steve Jones	human
E00036	Siobhán Donaghy	human
E00037	National Fascist Party	political_party
E00038	Ran Danker	human
E00039	Semyon Farada	human
E00040	Polly Bergen	human
E00041	Marion Dönhoff	human
E00042	"Clarence ""Gatemouth"" Brown"	human
E00043	Tom Evans	human
E00044	Giovanni Domenico Cassini	human
E00045	Helge Ingstad	human
E00046	Hilary Duff	human
E00047	John Berger	human
E00048	Ignaz von Döllinger	human
E00049	Ahmed Zaki Abu Shadi	human
E00050	pulmonary embolism	disease
E00051	On Her Majesty's Secret Service	film
E00052	Charley Jordan	human
E00053	Wilhelm Klingenberg	human
E00054	Son of Dave	human
E00055	Hans Krebs	human
E00056	Nuno Roque	human
E00057	Earl Grant	human
E00058	Gucci Mane	human
E00059	Star Wars Episode V: The Empire Strikes Back	film
E00060	Larry Crowne	film
E00061	Francis Alÿs	human
E00062	Flying Lotus	human
E00063	Oscar Paul	human
E00064	Predrag Marković	human
E00065	epilepsy	disease
E00066	Reinhard Jirgl	human
E00067	Tom Sizemore	human
E00068	Christian Science	religious_denomination
E00069	experimental music	music_genre
E00070	Erwin Raisz	human
E00071	Deram	record_label
E00072	Marin Hinkle	human
E00073	Khaled Hosseini	human
E00074	Uma Thurman	human
